sg_window,sg_poly,prominence,distance,n_peaks,score,mean_prominence,tp,fp,fn,precision,recall,f1,mae,tol_abs,peaks_diff
21,2,0.03,30,78,0.4905660377358491,40.924785400739715,26,52,2,0.3333333333333333,0.9285714285714286,0.4905660377358491,1.6153846153846154,15,50
21,2,0.05,30,78,0.4905660377358491,40.924785400739715,26,52,2,0.3333333333333333,0.9285714285714286,0.4905660377358491,1.6153846153846154,15,50
21,2,0.07,30,78,0.4905660377358491,40.924785400739715,26,52,2,0.3333333333333333,0.9285714285714286,0.4905660377358491,1.6153846153846154,15,50
21,3,0.03,30,78,0.4905660377358491,41.09755333860624,26,52,2,0.3333333333333333,0.9285714285714286,0.4905660377358491,1.6153846153846154,15,50
21,3,0.05,30,78,0.4905660377358491,41.09755333860624,26,52,2,0.3333333333333333,0.9285714285714286,0.4905660377358491,1.6153846153846154,15,50
21,3,0.07,30,78,0.4905660377358491,41.09755333860624,26,52,2,0.3333333333333333,0.9285714285714286,0.4905660377358491,1.6153846153846154,15,50
51,2,0.07,30,74,0.4901960784313726,27.460849218687848,25,49,3,0.33783783783783783,0.8928571428571429,0.4901960784313726,3.16,15,46
51,3,0.07,30,74,0.4901960784313726,27.609069795033488,25,49,3,0.33783783783783783,0.8928571428571429,0.4901960784313726,3.16,15,46
51,2,0.03,30,75,0.48543689320388345,27.095577130179866,25,50,3,0.3333333333333333,0.8928571428571429,0.48543689320388345,3.16,15,47
51,2,0.05,30,75,0.48543689320388345,27.095577130179866,25,50,3,0.3333333333333333,0.8928571428571429,0.48543689320388345,3.16,15,47
51,3,0.03,30,75,0.48543689320388345,27.241821432174238,25,50,3,0.3333333333333333,0.8928571428571429,0.48543689320388345,3.16,15,47
51,3,0.05,30,75,0.48543689320388345,27.241821432174238,25,50,3,0.3333333333333333,0.8928571428571429,0.48543689320388345,3.16,15,47
101,3,0.12,10,71,0.48484848484848475,18.815319027125312,24,47,4,0.3380281690140845,0.8571428571428571,0.48484848484848475,3.4583333333333335,15,43
81,2,0.05,20,71,0.48484848484848475,21.548573738189486,24,47,4,0.3380281690140845,0.8571428571428571,0.48484848484848475,4.875,15,43
81,2,0.12,15,67,0.4842105263157894,22.861518787341282,23,44,5,0.34328358208955223,0.8214285714285714,0.4842105263157894,4.217391304347826,15,39
101,2,0.12,10,72,0.48,18.358747299455707,24,48,4,0.3333333333333333,0.8571428571428571,0.48,3.7916666666666665,15,44
81,3,0.05,20,72,0.48,21.292571917182144,24,48,4,0.3333333333333333,0.8571428571428571,0.48,4.875,15,44
101,3,0.07,15,68,0.47916666666666674,19.60643251097935,23,45,5,0.3382352941176471,0.8214285714285714,0.47916666666666674,3.9130434782608696,15,40
101,2,0.07,15,68,0.47916666666666674,19.395461176781073,23,45,5,0.3382352941176471,0.8214285714285714,0.47916666666666674,4.260869565217392,15,40
81,2,0.09,15,73,0.4752475247524752,20.99064213825248,24,49,4,0.3287671232876712,0.8571428571428571,0.4752475247524752,4.041666666666667,15,45
81,2,0.03,20,73,0.4752475247524752,20.959373819546204,24,49,4,0.3287671232876712,0.8571428571428571,0.4752475247524752,4.666666666666667,15,45
81,3,0.12,15,69,0.4742268041237113,22.248948684185763,23,46,5,0.3333333333333333,0.8214285714285714,0.4742268041237113,3.869565217391304,15,41
61,2,0.12,20,82,0.4727272727272727,22.48284201808441,26,56,2,0.3170731707317073,0.9285714285714286,0.4727272727272727,2.769230769230769,15,54
61,3,0.12,20,82,0.4727272727272727,22.539796391287354,26,56,2,0.3170731707317073,0.9285714285714286,0.4727272727272727,2.769230769230769,15,54
81,3,0.03,20,74,0.4705882352941177,20.71825312773694,24,50,4,0.32432432432432434,0.8571428571428571,0.4705882352941177,4.666666666666667,15,46
81,3,0.09,15,75,0.4660194174757282,20.476967687325104,24,51,4,0.32,0.8571428571428571,0.4660194174757282,3.7083333333333335,15,47
51,2,0.12,20,88,0.4655172413793104,23.168151707422286,27,61,1,0.3068181818181818,0.9642857142857143,0.4655172413793104,3.5555555555555554,15,60
101,3,0.09,10,76,0.46153846153846156,17.58478885027328,24,52,4,0.3157894736842105,0.8571428571428571,0.46153846153846156,3.4583333333333335,15,48
51,3,0.12,20,89,0.46153846153846156,23.029085244999326,27,62,1,0.30337078651685395,0.9642857142857143,0.46153846153846156,3.5555555555555554,15,61
101,2,0.09,10,76,0.46153846153846156,17.398285372606452,24,52,4,0.3157894736842105,0.8571428571428571,0.46153846153846156,3.7916666666666665,15,48
81,2,0.07,15,76,0.46153846153846156,20.165091672254707,24,52,4,0.3157894736842105,0.8571428571428571,0.46153846153846156,4.041666666666667,15,48
101,3,0.05,15,72,0.45999999999999996,18.520571975545785,23,49,5,0.3194444444444444,0.8214285714285714,0.45999999999999996,3.9130434782608696,15,44
101,2,0.05,15,72,0.45999999999999996,18.321321271025187,23,49,5,0.3194444444444444,0.8214285714285714,0.45999999999999996,4.260869565217392,15,44
61,2,0.07,20,90,0.45762711864406774,20.49333984461032,27,63,1,0.3,0.9642857142857143,0.45762711864406774,2.8518518518518516,15,62
61,3,0.07,20,90,0.45762711864406774,20.54523160686189,27,63,1,0.3,0.9642857142857143,0.45762711864406774,2.8518518518518516,15,62
81,2,0.05,15,82,0.4545454545454546,18.69405261549339,25,57,3,0.3048780487804878,0.8928571428571429,0.4545454545454546,3.88,15,54
61,2,0.05,20,91,0.45378151260504207,20.26872041050597,27,64,1,0.2967032967032967,0.9642857142857143,0.45378151260504207,2.8518518518518516,15,63
61,3,0.05,20,91,0.45378151260504207,20.32004193361192,27,64,1,0.2967032967032967,0.9642857142857143,0.45378151260504207,2.8518518518518516,15,63
51,2,0.07,20,91,0.45378151260504207,22.40802211872505,27,64,1,0.2967032967032967,0.9642857142857143,0.45378151260504207,3.5555555555555554,15,63
51,2,0.09,20,91,0.45378151260504207,22.40802211872505,27,64,1,0.2967032967032967,0.9642857142857143,0.45378151260504207,3.5555555555555554,15,63
81,3,0.07,15,78,0.45283018867924535,19.69234189164499,24,54,4,0.3076923076923077,0.8571428571428571,0.45283018867924535,3.7083333333333335,15,50
